Meal Type,Meal Name,Diet Type,Calories,Protein,Fat,Sugars,Veg,Carbohydrates
Breakfast,Smoked Salmon on Whole Grain Bagel,Muscle-Building,320,22,10,6,0,40.0
Breakfast,Egg White and Avocado Toast,Muscle-Building,250,15,10,4,0,30.0
Breakfast,Greek Yogurt with Honey and Almonds,Muscle-Building,280,20,10,18,1,25.0
Breakfast,Chia Seed and Berry Parfait,Muscle-Building,300,10,10,20,1,40.0
Breakfast,Tofu and Vegetable Scramble,Muscle-Building,350,20,22,5,1,15.0
Lunch,Grilled Tuna Salad with Mixed Greens,Muscle-Building,350,30,15,4,0,10.0
Lunch,Roasted Chicken and Quinoa Bowl,Muscle-Building,450,35,15,5,0,40.0
Lunch,Turkey Breast and Avocado Wrap,Muscle-Building,400,25,20,3,0,35.0
Lunch,Lentil and Vegetable Salad,Muscle-Building,350,18,10,6,1,45.0
Lunch,Caprese Sandwich with Whole Wheat Bread,Muscle-Building,300,15,12,5,1,30.0
Lunch,Chicken Caesar Wrap (No Croutons),Muscle-Building,400,30,20,3,0,25.0
Lunch,Asian-Style Beef and Noodle Salad,Muscle-Building,450,25,20,7,0,40.0
Lunch,Mediterranean Chickpea and Feta Salad,Muscle-Building,350,15,15,8,0,40.0
Lunch,Sushi Roll with Brown Rice and Vegetables,Muscle-Building,300,12,5,6,0,50.0
Lunch,Shrimp and Avocado Salad,Muscle-Building,350,25,20,3,0,15.0
Dinner,Grilled Sirloin Steak with Steamed Veggies,Muscle-Building,500,40,30,4,0,10.0
Dinner,Baked Lemon Herb Chicken Breast,Muscle-Building,400,35,25,1,0,5.0
Dinner,Vegetable Stir-Fry with Tofu and Brown Rice,Muscle-Building,450,20,15,8,1,55.0
Dinner,Salmon Fillet with Quinoa and Asparagus,Muscle-Building,500,35,25,3,0,40.0
Dinner,Spicy Black Bean and Corn Tacos,Muscle-Building,400,15,15,8,1,50.0
Dinner,Roasted Turkey and Sweet Potato Mash,Muscle-Building,450,40,15,5,0,35.0
Dinner,Pork Tenderloin with Brussels Sprouts,Muscle-Building,400,35,20,4,1,15.0
Dinner,Zucchini Noodles with Pesto and Pine Nuts,Muscle-Building,350,10,25,5,0,20.0
Dinner,Moroccan Chickpea Stew,Muscle-Building,300,12,10,12,0,40.0
Dinner,Beef and Broccoli with Brown Rice,Muscle-Building,450,30,15,5,0,50.0
Breakfast,Scrambled Eggs with Spinach,Low-Sugar,200,14,15,1,0,2.0
Lunch,Grilled Chicken Salad with Olive Oil Dressin,Low-Sugar,350,30,20,3,0,10.0
Dinner,Baked Salmon with Steamed Broccoli,Low-Sugar,400,35,25,1,0,5.0
Breakfast,Oatmeal with Fresh Berries,Balanced,250,6,4,7,1,45.0
Lunch,Mixed Greens Salad with a Few Slices of Turkey,Balanced,200,15,8,4,0,15.0
Dinner,Baked Cod with a Side of Quinoa,Balanced,350,30,8,2,0,35.0
Breakfast,Oatmeal with Walnuts and Blueberries,Heart-Healthy,300,10,15,10,1,40.0
Lunch,Grilled Salmon Salad with Mixed Greens,Heart-Healthy,400,30,20,4,0,10.0
Dinner,Vegetable Stir-Fry with Brown Rice,Heart-Healthy,350,10,10,5,1,60.0
Breakfast,Whole Wheat Waffles with Fruit Topping,Balanced,250,8,6,15,1,40.0
Lunch,Macaroni and Cheese with Peas,Balanced,350,15,15,5,1,40.0
Dinner,Spahetti with Turkey Meatballs,Balanced,400,25,15,8,0,45.0
